type,title,detail,created_time,url
topic,คณะวิทยาการสารสนเทศ สาขานิเทศศาสตร์ มมส,ถ้าจะเข้านิเทศ มมส ต้องเตรียมตัวยังไงบ้างคะ อยากยื่นรอบพอร์ต แต่ยังไม่เริ่มอะไรเลย อยากรู้เรื่องเกี่ยวกับคณะนี้ สาขานี้ค่ะ กลัวไม่ติดด้วย🥹 อยากขอแนวทางเกี่ยวกับทำพอร์ตคณะนี้ด้วยค่ะ,2022-11-08 14:17:10,https://pantip.com/topic/41722467
comment,คณะวิทยาการสารสนเทศ สาขานิเทศศาสตร์ มมส,https://www.mytcas.com/programs/10210112901101Ahttps://admission.msu.ac.th/,2022-11-08 14:34:22,https://pantip.com/topic/41722467
topic,ระหว่างคณะปัญญาประดิษฐ์ มข. กับ คณะวิทยาการสารสนเทศ มมส. ควรเลือกอะไรดี,สวัสดีครับผมอยากทราบว่าคณะสองคณะนี้ผมควรเลือกอะไรดี คณะทั้งสองอันไหนโอกาสในการทำงานในอนาคตน้อยกว่ากันครับ สองคณะนี้ค่าเทอมต่างกันเท่าตัว แต่ทางครอบครัวบอกว่าเรียนได้ไม่ต้องห่วง แต่ผมก็ยังรู้สึกว่ามันเยอะเกินไปแต่ก็อยากเรียน ผมเลยอยากทราบว่าสองคณะนี้อันไหนโอกาสตกงานสูงกว่ากันและอันไหนต่อยอดได้ไกลกว่า (ความคิดเห็นของทุกท่านไม่ใช่นำมาใช้ตัดสินใจ100%นำมาพิจารณาเพียง10%เท่านั้น😅),2023-04-24 06:17:46,https://pantip.com/topic/41980396
comment,ระหว่างคณะปัญญาประดิษฐ์ มข. กับ คณะวิทยาการสารสนเทศ มมส. ควรเลือกอะไรดี,ปัญญาประดิษฐ์ มข. ค่ะ,2023-04-24 06:21:58,https://pantip.com/topic/41980396
comment,ระหว่างคณะปัญญาประดิษฐ์ มข. กับ คณะวิทยาการสารสนเทศ มมส. ควรเลือกอะไรดี,เรียงอันดับตามคะแนน(เพิ่มเหตุผลในการพิจารณาเลือก),2023-04-24 06:46:32,https://pantip.com/topic/41980396
topic,ขอสอบถามรุ่นพี่ คณะวิทยาการสารสนเทศ ม.บูรพา หน่อยค่ะ,คือเรามีความสนใจอยากเข้าคณะนี้ อยากรู้ว่าคณะนี้ใช้คะแนนอะไรบ้าง เฉลี่ยแต่ละอันกี่% การแข่งขันสูงมั้ย วอนพี่ๆมาตอบหน่อยค่ะ (การเรียนเป็นอย่างไรบ้าง),2022-04-19 22:47:43,https://pantip.com/topic/41383395
comment,ขอสอบถามรุ่นพี่ คณะวิทยาการสารสนเทศ ม.บูรพา หน่อยค่ะ,https://www.mytcas.com/universities/019/faculties/10,2022-04-19 23:15:42,https://pantip.com/topic/41383395
comment,ขอสอบถามรุ่นพี่ คณะวิทยาการสารสนเทศ ม.บูรพา หน่อยค่ะ,ผมเป็น Dek67 ครับ อยากเข้าคณะนี้ ของม.บูรพา เหมือนกัน วอนพี่ๆช่วยรีวิวคณะนี้ทีครับ ขอบคุณครับ,2023-05-28 10:32:04,https://pantip.com/topic/41383395
topic,ถ้ามีคนถามเราต้องตอบว่ายังไงคะ,คือเราเรียนคณะวิทยาการสารสนเทศ สาขาวิศวกรรมซอฟต์แวร์ค่ะ แล้วเวลามีคนมาถามว่าเรียนอะไรเราต้องตอบว่าอะไรหรอคะ กลัวตอบไปแล้วคนเข้าใจผิดอะค่ะ,2022-06-17 21:41:38,https://pantip.com/topic/41491578
comment,ถ้ามีคนถามเราต้องตอบว่ายังไงคะ,เรียนวิทย์คอม,2022-06-17 22:29:02,https://pantip.com/topic/41491578
comment,ถ้ามีคนถามเราต้องตอบว่ายังไงคะ,"คณะวิทยาการสารสนเทศ  ภาษาอังกฤษคือ Faculty of Informaticsผมว่า  ตอบอย่างนี้ก็ดีนะครับ"" เรียน IT  สาขาวิศวกรรมซอฟต์แวร์ """,2022-06-17 22:29:38,https://pantip.com/topic/41491578
comment,ถ้ามีคนถามเราต้องตอบว่ายังไงคะ,ตอบแบบกว้างๆก็ ITแต่ส่วนใหญ่เค้าตอบที่สาขา ไม่ค่อยสนใจคณะ ก็คงตอบวิศวะซอฟต์แวร์ แต่ก็ยังมีคำถามอีก (แม้แต่คนเคยจบวิศวะด้วย) แล้วเรียนเกี่ยวกับอะไร อันนี้แหละคือคำตอบที่จขกท.ต้องทำการบ้านเพิ่มเติมและอย่าลืม มหาวิทยาลัย ต้องยอมรับว่าหลายๆคนมักจะเหยียดม.ที่ไม่ดัง อย่าไปแคร์,2022-06-18 00:08:46,https://pantip.com/topic/41491578
topic,หาเพื่อนม.บูรพา 65ครับ,คณะวิทยาการสารสนเทศครับ แต่คณะอื่นก็ได้นะครับ เจอกันก็ทักทายกันได้เลย แอดไลน์มาคุยกันได้ครับ id line : weeradechwin,2022-05-23 19:35:25,https://pantip.com/topic/41446568
comment,หาเพื่อนม.บูรพา 65ครับ,ท่องเที่ยวนะค่าาาา,2022-05-23 23:57:07,https://pantip.com/topic/41446568
comment,หาเพื่อนม.บูรพา 65ครับ,ฝรั่งเศสค่า,2022-05-24 14:24:51,https://pantip.com/topic/41446568
comment,หาเพื่อนม.บูรพา 65ครับ,คณะเดียวกันเลอออ เม้นช้าไปปีก่าทันมั้ยคะ5555555555555555555555,2023-06-14 05:35:20,https://pantip.com/topic/41446568
topic,ตอนนี้ใกล้ครบกำหนดส่งเอกสารฝึกงานแล้ว ยังไม่ที่ฝึกงานไม่ได้เลยครับ มีใครพอแนะนำได้มั้ยครับ สนใจตำแหน่ง Mobile Dev ครับ,สวัสดีครับ ตอนนี้ผมเรียน คณะวิทยาการสารสนเทศ สาขาวิทยาการคอมพิวเตอร์ มหาวิทยาลัยมหาสารคามครับ ตอนนี้มหาลัยกำหนดส่งเอกสารฝึกงานสิ้นเดือนนี้ ตอนนี้หาจากหลายแหล่งแล้ว ปรากฏว่าถูกจองและเต็มหมดแล้ว มีใคพอแนะนำได้บ้างมั้ยครับฝึกต้นเดือนธันวาถึงสิ้นเดือนมีนาครับ อยากทำงานสาย Mobile Dev ครับ ขอเป็นเขตกรุงเทพ ไม่ก็ขอนแก่นก็ได้ครับ ใครมีลิงค์เข้าหา หรือสถานที่แนะนำ ฝากหน่อยนะครับ,2022-09-21 15:15:52,https://pantip.com/topic/41644702
comment,ตอนนี้ใกล้ครบกำหนดส่งเอกสารฝึกงานแล้ว ยังไม่ที่ฝึกงานไม่ได้เลยครับ มีใครพอแนะนำได้มั้ยครับ สนใจตำแหน่ง Mobile Dev ครับ,ฝึกงาน TRUE AIS DTAC NT 3BB ทรีบรอดแบรยด์ ไทยคม และ อื่น ๆ,2022-09-21 22:21:48,https://pantip.com/topic/41644702
topic,ช่วยเเนะนำคณะเเละสาขาเกี่ยวกับคอมพิวเตอร์หน่อยค่ะ,เราเป็นเด็ก67ตอนนี้ยังหาคณะที่ใช่สาขาที่ชอบไม่ได้เลย เลยอยากให้พี่ๆเเนะนำคณะเเละมหาลัยให้หน่อย,2023-06-03 12:34:46,https://pantip.com/topic/42049909
comment,ช่วยเเนะนำคณะเเละสาขาเกี่ยวกับคอมพิวเตอร์หน่อยค่ะ,รู้จักตัวเองก่อนดีไหมตัดความอยากเป็นออกไปก่อนแล้วไปสำรวจ ความถนัดของตนเอง ทักษะความสามารถของตนเองเริ่มต้นที่ฝ่ายแนะแนวการศึกษาที่สถานศึกษาที่เรียนอยู่จากนั้นก็ค่อยมาถาม,2023-06-03 12:40:13,https://pantip.com/topic/42049909
comment,ช่วยเเนะนำคณะเเละสาขาเกี่ยวกับคอมพิวเตอร์หน่อยค่ะ,แต่ละ คณะ สาขา ภาควิชา เอก เน้น คนละด้านถ้า ชอบ ถนัด หลงใหล เขียนโปรแกรม สาขา ภาควิชา เฮดคอมพิวเตอร์ไม่ว่า เขียนโปรแกรม ต้องมี การออกแบบ Design User Interface:UIคอมพิวเตอร์ แต่ละ มหาวิทยาลัย จะอยู่ใน คณะ ที่แตกต่างกันไปคอมพิวเตอร์ แต่ละ มหาวิทยาลัย จะใช้ชื่อ สาขา ภาควิชา เอก ที่แตกต่างกันไปถ้า ชอบ ถนัด หลงใหล คอมพิวเตอร์ คณะเทคโนโลยีสารสนเทศ IT คณะดิจิทัลมีเดีย คณะบริหารธุรกิจ คณะวิทยาการจัดการ คณะนวัตกรรมดิจิทัลเทคโนโลยี หรือ วิทยาลัยนวัตกรรมดิจิทัลเทคโนโลยี คณะดิจิทัลอาร์ต คณะศิลปกรรมศาสตร์ คณะเทคโนโลยีสารสนเทศและนวัตกรรม คณะวิทยาศาสตร์และเทคโนโลยี คณะวิทยาศาสตร์ คณะวิทยาการสารสนเทศ คณะเทคโนโลยีสารสนเทศและการสื่อสาร ICT คณะนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์ หรือ วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์ คณะวิศวกรรมศาสตร์และเทคโนโลยี คณะวิศวกรรมศาสตร์เรียนจบ คอมพิวเตอร์ ควรมี ประกาศนียบัตร วุฒิบัตร ใบCertificateเรียนจบ คณะวิศวกรรมศาสตร์ ควรมี ใบประกอบวิชาชีพ กว (บางสาขา ภาควิชา เอก),2023-06-03 13:53:16,https://pantip.com/topic/42049909
comment,ช่วยเเนะนำคณะเเละสาขาเกี่ยวกับคอมพิวเตอร์หน่อยค่ะ,"คำค้น ""คอมพิวเตอร์""  https://www.mytcas.com/search",2023-06-03 16:38:33,https://pantip.com/topic/42049909
topic,เรียน แอนิเมชั่น มข หรือ มมส ดี?,บ้านอยู่ในภาคอีสานค่ะ อยากเรียนแอนิเมชั่น เลยไปค้นหาข้อมูล รู้สึกสนใจ คณะศิลปกรรมศาสตร์ สาขาออกแบบนิเทศศิลป์ วิชาเอกแอนิเมชั่น มหาวิทยาลัยขอนแก่น กับ คณะวิทยาการสารสนเทศ สาขาสื่อนฤมิต วิชาเอกแอนิเมชั่น มหาวิทยาลัยมหาสารคาม อยากทราบว่าที่ไหนดีกว่ากันคะ ถ้ามีรุ่นพี่ที่เรียนอยู่หรือจบไปแล้วเข้ามาตอบ อยากทราบด้วยค่ะว่าฝึกงานกันที่ไหนด้วย รบกวนด้วยนะคะ,2022-03-28 00:36:49,https://pantip.com/topic/41342805
comment,เรียน แอนิเมชั่น มข หรือ มมส ดี?,มข.,2022-03-28 08:05:20,https://pantip.com/topic/41342805
comment,เรียน แอนิเมชั่น มข หรือ มมส ดี?,ถ้า ระหว่าง มหาวิทยาลัยขอนแก่น กับ มหาวิทยาลัยมหาสารคาม เลือก มหาวิทยาลัยขอนแก่น ก็ OK ระแอนิเมชัน แต่ละ มหาวิทยาลัย จะอยู่ใน คณะ ที่แตกต่างกันไปแอนิเมชัน แต่ละ มหาวิทยาลัย จะใช้ชื่อ สาขา ภาควิชา เอก ที่แตกต่างกันไปเรียนจบ สาขา ภาควิชา เอกแอนิเมชัน ควรมี ประกาศนียบัตร วุฒิบัตร ใบCertificate,2022-03-28 13:06:49,https://pantip.com/topic/41342805
topic,มมส. รับเด็กปวช.รึเปล่าคะ?,อยากทราบว่ามมส. คณะวิทยาการสารสนเทศ สาขานฤมิต เค้ารับเด็กปวช.เรียนสาขาคอมพิวเตอร์ธุรกิจ(Dek66)รึเปล่าคะและทาง ม.เค้ารับคะแนนGAT PATหรือคะแนนสอบอะไรบ้างรึเปล่าคะ.. มาถามตอนนี้จะสายไปรึเปล่าคะเนี่ย และพอจะให้คำแนะนำในการเตรียมตัวในการสมัครเข้าคณะและสาขานี้ในฐานะเด็กปวช.ยังไงบ้างหรอคะ?,2022-03-11 23:54:54,https://pantip.com/topic/41312537
comment,มมส. รับเด็กปวช.รึเปล่าคะ?,"ใช้วุฒิ ปวช. ยื่นสมัครในรอบ 23 ได้  โดยการยื่นคะแนน GAT อย่างเดียวมมส.  https://www.mytcas.com/programs/10210112220102Aในกรณีที่จบ ปวช. หรือ กศน.  ถ้าอยากจะเข้า ม.ปิด ของรัฐ  เพื่อเรียนในระดับ ป.ตรี  ก็ต้องสอบเข้าให้ได้ก่อนhttps://www.trueplookpanya.com/tcas/article/detail/73584TCAS 65 ปรับเกณฑ์การสอบใหม่  https://www.admissionpremium.com/content/6340สมัครสอบ ONET GAT PAT วิชาสามัญhttps://www.niets.or.th/th/ดูคุณสมบัติของแต่ละคณะ  ว่ารับวุฒิระดับไหนบ้าง  มีเกณฑ์แบบไหน  ต้องยื่นคะแนนอะไรในแต่ละรอบhttps://www.mytcas.com/universitiesคำค้น ""ชื่อคณะหรือสาขาวิชา""  https://www.mytcas.com/search/ตรวจสอบข้อมูลอัพเดทปีล่าสุดกับทางเว็บของแต่ละคณะและมหาวิทยาลัย ในแต่ละรอบอีกทีด้วยนะครับคำค้นกูเกิ้ล ""admission ชื่อมหาวิทยาลัย""หรือไม่ก็ลองดู ม.รามคำแหง กับ มสธ.  แต่ถ้ามีงบมากพอ  ก็ไปเรียน ม.เอกชน  สมัครเข้าไปเรียนได้เลย  ไม่ต้องสอบครับhttps://www.ru.ac.th/th/https://www.stou.ac.th/main/https://www.trueplookpanya.com/tcas/article/detail/58725",2022-03-12 06:31:43,https://pantip.com/topic/41312537
topic,เรียนจบศิลป์ภาษาอังกฤษ สามารถต่อคณะวิทยาการสารสนเทศได้มั้ย,ผมเรียนสายศิลป์ภาษาอังกฤษครับ อยากเข้าคณะที่เกี่ยวกับคอมพิวเตอร์ สนใจคณะวิทยาการสารสนเทศ ของม.มหาสารคาม ครับ เค้ารับศิลป์ภาษามั้ยครับ หรือมีคณะอื่นที่สอนเกี่ยวกับคอมที่รับสายภาษามั้ยครับ,2021-06-18 20:24:16,https://pantip.com/topic/40786025
comment,เรียนจบศิลป์ภาษาอังกฤษ สามารถต่อคณะวิทยาการสารสนเทศได้มั้ย,https://admission.msu.ac.th/?page7,2021-06-18 21:09:38,https://pantip.com/topic/40786025
topic,อยากเป็น developer เรียนคณะไหน มหาลัยไหนดีคะ,เราสนใจทางด้านนี้มากพอสมควรเลยค่ะ แต่ยังไม่ได้เทียบหลักสูตรคณะของแต่ละมหาลัยให้ถี่ถ้วน เห็นมีคนบอกเรียนวิศวะคอมก็ได้ หรือ คณะเทคโนโลยีก็ได้ หรือคอมไซก็ได้ เราสงสัยว่าจบทั้งสามคณะนี้มาสามารถทำงานสายนี้ได้หมดเลยเหรอคะ แล้วหากเราอยากเรียนแบบตรงสายไปเลยควร,2022-11-06 18:41:47,https://pantip.com/topic/41719673
